dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
hc,mdsr,Medical Devices System Renewal,"Medical Devices System Renewal
 This project comprises a standard submission management framework for license applications, an electronic review environment supported by electronic forms, and the implementation of a ""case management"" solution for Post Market Problem Reporting. This will allow for the retirement of an aging application, and provide industry with a more efficient means of transmitting information to Health Canada.",8200000,2017-03-31,8555-421-266,"June 9, 2016",118
hc,mtss,Medical Transportation System Solution,"Medical Transportation System Solution (MTSS)
 The will procure a single, national solution to replace the existing mix of Medical Transportation (MT) systems that will meet the service delivery needs of Health Canada's regional offices. It will also permit the replacement of several aging systems at risk of failure.",6400000,2018-03-31,8555-421-266,"June 9, 2016",124
hc,mcvs,Modernization of Canada Vigilence System,"Modernization of Canada Vigilance System (IP 618)
 Provide an electronic safety message exchange system that supports the submission, receipt, vaildation, and import of pre and post market adverse reaction reports (ICSRs) among regulators and commercial partners. This will allow HG to continue to receive and send adverse reaction reports coded in the new version of the International
 Conference on Harmonisation standard E2B R3.",2382549,2020-12-31,8555-421-2460,"May 1, 2019",229
hc,mygchr,MyGCHR,"My Government of Canada Human Resources (My GCHR)
 This will move Departments and Agencies to a single standard HR solution, which will standardize many HR_ transactions across the public service while improving the consistency of information and allowing users greater control over their personal information. To support project delivery, reporting processes used by HC/PHAC HR have to be modified to align with the new standards required under My GCHR.",1200000,2017-03-31,8555-421-266,"June 9, 2016",136
hc,,National Integrated Compliance and Enforcement Management System (NICEMS),A multi-year project to develop and implement a single integrated solution to replace current legacy systems within the Tobacco Control Directorate (TCD). The new solution will enable TCD and the Tobacco Control Program (TCP) to meet legislative needs under the new Tobacco and Vaping Products Act (TVPA) and the Canada Consumer Product Safety Act (CCPSA).,3600000,2023-12-31,8530-441-13-505,"April 25, 2022",230
hc,nohis,National Occupational Health Information System,"National Occupational Health Information System (NOHIS)
 This will modernize the delivery of the Public Service Occupational Health program by providing case management, scheduling and reporting for health professionals delivering services to public servants exposed, in their line of work, to specific health risks.",1000000,2018-03-31,8555-421-266,"June 9, 2016",121
hc,nohis,National Occupational Health Information System,"National Occupational Health Information System (NOHIS) (IP 217)
 The program requires a single, national, integrated system that will respond to the immediate operational case management needs, and ultimately enable future usage of an electronic medical records capabilitv.",2283569,2020-12-31,8555-421-2460,"May 1, 2019",236
hc,,National Occupational Health Information System (NOHIS),"The program requires a single, national, integrated system that will respond to the immediate operational case management needs, and ultimately enable future usage of an electronic medical records capability.",3500000,2024-06-30,8530-441-13-505,"April 25, 2022",227
hc,nhpd-it,Natural Health Products Division IT Renewal,"Natural Health Products Division - IT Renewal (NHPD) (IP 501)
 Bring out-of-date systems up to the required supportable levels, stabilize and improve system performance, and improve the license processing for both the industry and the Directorate, while incorporating a client-facing validation model to deal with the issue
 of attestation failures.",5151841,2020-03-31,8555-421-2460,"May 1, 2019",224
hc,pep,Planning for Enterprise Performance,"Planning for Enterprise Performance (PEP)
 This will replace the many varied Health Canada internal planning and reporting processes with a single solution,
 allowing us to integrate strategic, operational, and financial information, improve reporting efficiency, and ensure that we have a sinqle authoritative source of information.",9800000,2019-03-31,8555-421-266,"June 9, 2016",119
hc,rsam,Recalls & Safety Alerts Migration,"Recalls & Safety Alerts Migration (IP 702)
 Develop and migrate the existing Recalls and Safety Alerts application on to a new modern publishing platform to align with Canada.ca and Web Renewal requirements.",1409400,2021-06-30,8555-421-2460,"May 1, 2019",238
hc,,Recalls and Safety Alerts Migration,Develop and migrate the existing Recalls and Safety Alerts application on to a new modern publishing platform to align with Canada.ca and Web Renewal requirements.,1700000,2022-09-30,8530-441-13-505,"April 25, 2022",232
hc,,"Regulatory changes for Biocides, Over The Counter, and Non-Prescription and Natural Health Products (NNHPD) aging IT (planned)","The Regulatory changes for Biocides, Over The Counter, and Non-Prescription and Natural Health Products (NNHPD) aging IT (BON) renewal project will extend the moderization of the natural health product registration to low-risk products.",1300000,2025-03-31,8530-441-13-505,"April 25, 2022",243
hc,food-guide,Revision of Canada's Food Guide,"Revision of Canada's Food Guide (Healthy Eating Strategy) (IP 601)
 Design, develop, test, deploy, and host a new Canada Food Guide and responsive platform that permits open data and mobile innovation.",2920106,2020-12-31,8555-421-2460,"May 1, 2019",225
hc,,S4HANA (planned),All government Systems Applications and Products (SAP) clusters must migrate from the SAP Enterprise Resource Planning (ERP) Central Component (ECC) platform to the S/4HANA platform by 2030.,,2028-03-31,8530-441-13-505,"April 25, 2022",238
hc,,Sharepoint,This project will provision the Microsoft SharePoint service as the official corporate repository for documents and records.,1600000,2022-09-30,8530-441-13-505,"April 25, 2022",235
hc,swi,Single Window Initiative,"Single Window Initiative
 This is a joint project with Canada Border Services and seven other federal organizations to create an integrated solution to better manage the importation of products and human pathogens into Canada. The aim is to reduce the administration burden on importers while protecting the health and safety of Canadians. ·",6800000,2017-03-31,8555-421-266,"June 9, 2016",115
